time,BTC,ETH,BNB,SOL,ADA,DOT,BUSD
0,14:11:11,23421.58,1608.93,,317.33,24.34,0.3909,6.584
0,14:11:13,23419.52,1608.78,,317.33,24.34,0.3909,6.584
0,14:11:16,23419.52,1608.77,,317.32,24.34,0.3909,6.581
0,14:11:18,23420.83,1608.77,,317.33,24.34,0.3909,6.581
0,14:11:20,23420.56,1608.77,,317.32,24.34,0.3909,6.581
0,14:11:22,23417.03,1608.77,,317.33,24.34,0.391,6.581
0,14:11:25,23417.69,1608.54,,317.33,24.34,0.391,6.581
0,14:11:27,23417.2,1608.52,,317.33,24.34,0.3909,6.581
0,14:11:29,23417.03,1608.53,,317.32,24.34,0.391,6.581
0,14:11:31,23417.03,1608.52,,317.32,24.34,0.391,6.581
0,14:11:34,23417.69,1608.45,,317.32,24.34,0.391,6.581
0,14:11:36,23416.68,1608.45,,317.32,24.34,0.391,6.581
0,14:11:38,23416.49,1608.45,,317.32,24.34,0.391,6.581
0,14:11:41,23417.21,1608.44,,317.32,24.34,0.3911,6.581
0,14:11:43,23417.2,1608.83,,317.32,24.34,0.391,6.581
0,14:11:45,23417.22,1608.45,,317.32,24.34,0.391,6.581
0,14:11:47,23418.64,1608.82,,317.32,24.34,0.3911,6.581
0,14:11:50,23417.21,1608.93,,317.32,24.34,0.3911,6.581
0,14:11:52,23418.39,1608.94,,317.32,24.34,0.3911,6.581
0,14:11:54,23418.4,1608.82,,317.32,24.33,0.3911,6.581
0,14:11:56,23418.47,1608.93,,317.32,24.34,0.3911,6.581
0,14:11:59,23418.77,1608.97,,317.32,24.33,0.3911,6.581
0,14:12:01,23418.99,1608.94,,317.32,24.33,0.3911,6.581
0,14:12:03,23418.99,1608.94,,317.32,24.32,0.3911,6.581
0,14:12:06,23418.47,1608.97,,317.32,24.32,0.3911,6.581
0,14:12:08,23418.92,1608.92,,317.31,24.32,0.3911,6.581
0,14:12:11,23417.14,1608.92,,317.32,24.32,0.3911,6.581
0,14:12:14,23417.14,1608.96,,317.09,24.32,0.3911,6.581
0,14:12:17,23416.64,1608.96,,317.09,24.32,0.3911,6.581
0,14:12:19,23417.05,1608.96,,317.01,24.32,0.3911,6.581
0,14:12:21,23417.05,1608.96,,317.08,24.32,0.3911,6.581
0,14:12:24,23417.2,1609.32,,317.05,24.32,0.3911,6.581
0,14:12:26,23416.54,1608.96,,316.9,24.32,0.3911,6.581
0,14:12:28,23416.54,1609.32,,317.05,24.32,0.3911,6.594
0,14:12:31,23418.59,1609.32,,316.82,24.33,0.3911,6.594
0,14:12:33,23418.76,1609.2,,317.05,24.32,0.3911,6.594
0,14:12:36,23418.76,1609.16,,316.75,24.33,0.3911,6.594
0,14:12:40,23418.76,1609.16,,316.82,24.33,0.3911,6.594
0,14:12:42,23417.45,1609.16,,316.74,24.33,0.3911,6.593
